Shape Area,Quality Flags,GeoUID,Type,Households,CD_UID,Dwellings,Population,name,CSD_UID,CT_UID,CMA_UID,Region Name,Area (sq km),Population (n),Total private dwellings (n),Population density per square kilometre,Median Value of Dwellings ($),Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($),Occupied private dwellings (n),Single-detached house,Semi-detached house,Row house,Apartment or flat in a duplex,Apartment with <5 stories,Apartment with 5 or more stories,Other single attached house,No Bedrooms,1 Bedroom,2 Bedrooms,3 Bedrooms,4 or more bedrooms,Dwelling Density
0.0088,"0","35204587",DA,"153","3520","199","392","35204587","3520005","5350034.01","35535","35204587",0.0088,392,199,44545.5,980000,1420,2880,150,0,0,10,0,0,140,0,0,0,130,0,0,22613.6363636364
0.0319,"0","35204589",DA,"675","3520","738","1150","35204589","3520005","5350063.06","35535","35204589",0.0319,1150,738,36050.2,,,1520,675,0,0,0,0,0,675,0,125,470,75,10,0,23134.7962382445
0.0305,"0","35204590",DA,"735","3520","771","878","35204590","3520005","5350063.06","35535","35204590",0.0305,878,771,28786.9,,,750,735,0,0,0,0,0,735,0,140,575,50,0,0,25278.6885245902
0.028,"0","35204591",DA,"821","3520","907","1232","35204591","3520005","5350063.06","35535","35204591",0.028,1232,907,44000,600000,1440,1940,820,0,0,0,0,35,785,0,60,400,385,25,0,32392.8571428571
0.0453,"0","35204592",DA,"1094","3520","1308","1817","35204592","3520005","5350062.04","35535","35204592",0.0453,1817,1308,40110.4,700000,1250,1880,1095,0,0,0,0,25,1065,0,25,735,315,45,0,28874.1721854305
0.0258,"0","35204593",DA,"1024","3520","1298","1575","35204593","3520005","5350062.04","35535","35204593",0.0258,1575,1298,61046.5,700000,1820,2060,1025,0,0,0,0,0,1020,0,95,580,255,55,0,50310.0775193798
0.02,"0","35204594",DA,"1362","3520","1651","2102","35204594","3520005","5350062.04","35535","35204594",0.02,2102,1651,105100,700000,2100,2000,1360,0,0,0,0,5,1355,0,95,775,390,40,0,82550
0.0104,"0","35204595",DA,"678","3520","801","1142","35204595","3520005","5350062.04","35535","35204595",0.0104,1142,801,109807.7,700000,1580,2000,680,0,0,0,0,0,680,0,10,425,230,45,0,77019.2307692308
0.0132,"0","35204596",DA,"424","3520","494","667","35204596","3520005","5350062.01","35535","35204596",0.0132,667,494,50530.3,700000,1660,1700,425,0,0,0,0,35,385,0,20,315,100,0,0,37424.2424242424
0.0073,"0","35204597",DA,"325","3520","384","539","35204597","3520005","5350062.01","35535","35204597",0.0073,539,384,73835.6,800000,1420,1700,325,0,0,0,0,40,280,0,0,145,155,15,0,52602.7397260274
0.0341,"0","35204598",DA,"526","3520","635","793","35204598","3520005","5350062.01","35535","35204598",0.0341,793,635,23255.1,760000,2240,1860,530,0,0,5,0,40,475,5,60,330,125,0,0,18621.7008797654
0.0083,"0","35204599",DA,"3","3520","3","298","35204599","3520005","5350062.01","35535","35204599",0.0083,298,3,35903.6,,,,0,0,0,0,0,0,0,0,,,,,,361.44578313253
0.0213,"0","35204600",DA,"660","3520","791","896","35204600","3520005","5350062.01","35535","35204600",0.0213,896,791,42065.7,,,2180,660,0,0,0,0,0,655,0,40,370,225,15,0,37136.1502347418
0.0045,"0","35204601",DA,"347","3520","420","543","35204601","3520005","5350062.01","35535","35204601",0.0045,543,420,120666.7,645000,2980,2000,350,0,0,0,0,0,350,0,45,215,110,0,0,93333.3333333333
0.1041,"0","35204602",DA,"1137","3520","1450","1930","35204602","3520005","5350062.03","35535","35204602",0.1041,1930,1450,18539.9,1000000,2060,2120,1135,0,0,15,0,0,1125,0,75,590,440,35,20,13928.9145052834
0.0655,"0","35204603",DA,"581","3520","725","921","35204603","3520005","5350062.03","35535","35204603",0.0655,921,725,14061.1,2500000,3640,2680,580,0,0,5,0,10,565,0,15,210,260,40,0,11068.7022900763
0.0127,"0","35204605",DA,"685","3520","880","1177","35204605","3520005","5350035.00","35535","35204605",0.0127,1177,880,92677.2,750000,1410,2200,685,0,0,0,0,0,685,0,0,335,265,35,0,69291.3385826772
0.0615,"0","35204606",DA,"2435","3520","2962","4204","35204606","3520005","5350035.00","35535","35204606",0.0615,4204,2962,68357.7,850000,1590,2080,2435,0,0,0,0,0,2435,0,90,1350,805,245,10,48162.6016260163
